                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7061,                 4.3594,                 1.2296,                0.32779,                0.07694,                0.04282,                0.01936,                 1.0189,                 23.984,                0.76716,             0.00015812,             0.00015812,             0.00015812
                      2,                  1.586,                 3.1808,                 1.2126,                0.36299,                0.17366,                0.11378,                0.06731,                0.94998,                 14.918,                0.79306,             0.00031144,             0.00031144,             0.00031144
                      3,                 1.4896,                  3.208,                 1.1911,                0.32412,                0.19219,                0.10538,                0.06022,                0.99874,                 12.089,                0.84265,             0.00044392,             0.00044392,             0.00044392
                      4,                 1.4633,                 2.6233,                 1.1929,                0.37469,                0.17702,                0.13427,                0.07646,                  1.075,                 14.547,                 0.8639,             0.00040699,             0.00040699,             0.00040699
                      5,                 1.4109,                 2.3801,                 1.1715,                0.38373,                0.23762,                0.16942,                 0.0993,                0.98701,                  13.59,                0.81589,             0.00040699,             0.00040699,             0.00040699
                      6,                 1.4029,                 2.1674,                 1.1768,                0.35808,                0.15116,                  0.154,                0.09577,                 0.9556,                 8.0454,                0.84129,             0.00035819,             0.00035819,             0.00035819
                      7,                 1.3571,                 1.9679,                 1.1396,                0.17077,                0.30583,                0.17244,                0.10826,                 0.9186,                 9.9868,                0.80433,             0.00030136,             0.00030136,             0.00030136
                      8,                 1.3117,                 1.8219,                 1.1135,                0.27053,                0.34628,                0.17061,                0.10408,                0.95135,                 14.406,                0.80283,             0.00024038,             0.00024038,             0.00024038
                      9,                 1.2541,                 1.6923,                 1.0887,                0.46234,                0.23585,                0.18939,                 0.1233,                0.86943,                 12.373,                0.77573,              0.0001794,              0.0001794,              0.0001794
                     10,                 1.2251,                 1.6174,                   1.07,                0.18936,                0.35089,                0.18483,                0.12742,                0.81327,                 11.791,                0.75951,             0.00012257,             0.00012257,             0.00012257
                     11,                 1.1934,                 1.5889,                 1.0554,                0.18324,                 0.3312,                0.18406,                0.12548,                0.82681,                 10.369,                0.77414,             7.3772e-05,             7.3772e-05,             7.3772e-05
                     12,                 1.1749,                 1.5383,                 1.0414,                0.18219,                 0.3391,                0.17533,                0.12016,                0.82444,                 10.921,                0.76691,             3.6327e-05,             3.6327e-05,             3.6327e-05
